pathway,tissue,weighting_variant,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,colon,significant_only,0.0,-1.5175231454225873,0.0,0.0,0.0,1.7254498501986797,0.0,-1.3189135275085135,1.5069948337379413,0.0,0.0,-1.9551455340835684,-1.6097379172132975,0.0,0.0,-2.0951861781449783
KEGG_BILE_SECRETION,colon,all_nes,1.9087520455938496,-0.8642345743847928,-1.629404816300222,-0.9374909073535204,1.0638084768169187,1.2149824033306134,-1.2457095700507457,0.9677780744277662,-1.1263982768760257,-1.7702026909174673,1.4157820982453004,-0.7635358106012782,-0.5294735023892926,-2.2096596160837527,-1.2711232193451183,1.3779111982440286
KEGG_BILE_SECRETION,colon,significant_only,1.9087520455938496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,colon,all_nes,-1.5205696758227771,-2.387434536488801,1.1604818356150834,-2.4266721954591945,-2.007344317591505,-1.1644893700431185,1.3333819030677705,-1.4048032775139878,1.4266920947393091,1.0345205811169815,0.8184107725698349,-3.1586707134744607,-1.3648654516905323,0.7785910817299784,0.8099275411472515,-2.826293013391393
HALLMARK_INTERFERON_GAMMA_RESPONSE,colon,significant_only,0.0,-2.387434536488801,0.0,-2.4266721954591945,0.0,0.0,0.0,-1.4048032775139878,0.0,0.0,0.0,-3.1586707134744607,0.0,0.0,0.0,-2.826293013391393
HALLMARK_INTERFERON_ALPHA_RESPONSE,colon,all_nes,-1.906304868982182,-2.3429755848965947,-0.9074945642985738,-2.5292423900770102,-2.5733073430055367,-0.9193541938401976,1.1185126803264662,-1.4660355980021855,1.5248866731769677,0.7003110738003928,1.3893942010814493,-2.8022572545505917,0.7139916013527198,-1.0446574780331264,-1.5243725511778974,-2.528075456734215
HALLMARK_INTERFERON_ALPHA_RESPONSE,colon,significant_only,-1.906304868982182,-2.3429755848965947,0.0,-2.5292423900770102,0.0,0.0,0.0,-1.4660355980021855,0.0,0.0,0.0,-2.8022572545505917,0.0,0.0,0.0,-2.528075456734215
HALLMARK_COMPLEMENT,colon,all_nes,0.868176463260566,-1.9120569070080575,-0.7536624628998265,-0.9387165509358272,0.9803682871375732,1.1910860916672756,1.301811680476504,-1.106920071809644,1.212934579931808,1.1847985175670952,-0.943761653774398,-1.9523827030345544,-1.425574027620157,0.976264697171324,1.005666956402318,-2.50026265642653
HALLMARK_COMPLEMENT,colon,significant_only,0.0,-1.9120569070080575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9523827030345544,0.0,0.0,0.0,-2.50026265642653
REACTOME_INTERLEUKIN_17_SIGNALING,colon,all_nes,1.1330370638478338,-1.5072391928720053,1.3402715566428205,-1.0679987577423358,1.4704986298930405,1.2113564112628517,0.5111501614554881,-1.0840593030228087,-1.5046974002780191,1.597893427020066,1.2418581990978446,0.6923113126940813,-1.6770162512394586,0.7906308781554737,-0.9077254170117024,-1.312656633284964
REACTOME_INTERLEUKIN_17_SIGNALING,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACTOME_INTERFERON_SIGNALING,colon,all_nes,-1.3873117983373089,-2.2363106977158687,0.8938347391875906,-2.172697597206605,-1.8891571049211555,-1.170404173946353,1.084622798027638,-1.3563774912679685,1.5064055746599263,0.9846627947533784,1.0709042921444754,-2.7170797957771664,-0.929618307378913,0.6456951907705952,-1.0209232749477175,-2.494841163989068
