gene,train_mean_pre_zscore,train_std_pre_zscore,std_used,near_zero_std,residualized
BCAS1,7.2259274,1.2689888,1.2689888,False,False
SSPN,3.8336406,0.9166324,0.9166324,False,False
LIX1L,3.6912365,0.7712532,0.7712532,False,False
RNASE1,6.4061503,0.8978066,0.8978066,False,False
MYBL2,3.4784198,1.0445253,1.0445253,False,False
KIF11,4.663488,0.82138586,0.82138586,False,False
IL18RAP,2.1062164,0.92673653,0.92673653,False,False
PPP1R14C,3.3731282,1.4121277,1.4121277,False,False
CD7,2.7875268,1.3211067,1.3211067,False,False
FRMD6,3.9089863,0.9675165,0.9675165,False,False
DOK2,3.0766284,0.87788,0.87788,False,False
NHSL1,6.8530846,1.2276748,1.2276748,False,False
IL1RAP,3.105956,0.77390856,0.77390856,False,False
EDN1,3.9274154,1.0306277,1.0306277,False,False
SPON1,6.6162643,1.322523,1.322523,False,False
BEND5,1.1957964,0.6480017,0.6480017,False,False
KANSL1-AS1,1.4283844,0.70578194,0.70578194,False,False
SULT2B1,1.3725352,1.183121,1.183121,False,False
MYO7B,7.6824517,0.9594669,0.9594669,False,False
HTR1D,1.4273365,1.4979172,1.4979172,False,False
GLYCTK,5.3287096,0.9985145,0.9985145,False,False
PLCB1,2.8816755,0.8177657,0.8177657,False,False
ARHGEF3,3.9694145,0.7499438,0.7499438,False,False
PLOD2,6.575564,1.2011527,1.2011527,False,False
NBEAL2,6.192387,0.8185479,0.8185479,False,False
RBP5,2.484912,0.8848643,0.8848643,False,False
RNF157,3.692179,1.0534104,1.0534104,False,False
CDC42BPG,5.308199,0.76150495,0.76150495,False,False
STK10,5.244365,0.64460343,0.64460343,False,False
CLEC2B,3.0207713,0.8361582,0.8361582,False,False
LPIN1,5.010806,0.7747943,0.7747943,False,False
NPIPB5,3.8272839,0.84104913,0.84104913,False,False
CMAHP,3.9799054,1.2063235,1.2063235,False,False
EPS8L2,6.6588607,0.7959365,0.7959365,False,False
PTN,2.353008,0.9801019,0.9801019,False,False
FEN1,4.46947,0.6708244,0.6708244,False,False
PLIN4,1.6079826,0.97317344,0.97317344,False,False
DHCR24,7.2188277,1.0545928,1.0545928,False,False
GJB1,5.585635,1.0004693,1.0004693,False,False
GRAP2,2.797271,0.84642357,0.84642357,False,False
TSHZ3,2.1114995,0.7263183,0.7263183,False,False
XCR1,1.1106834,0.81498575,0.81498575,False,False
CASS4,1.7222108,0.7381481,0.7381481,False,False
RIMS3,4.11772,1.0936823,1.0936823,False,False
PTK6,6.015174,0.8901764,0.8901764,False,False
NUSAP1,4.5938907,0.7672807,0.7672807,False,False
TCEA3,5.951667,0.9667369,0.9667369,False,False
GRB7,3.5981102,0.9446543,0.9446543,False,False
TMEM54,7.6764565,0.9793766,0.9793766,False,False
SLC44A4,7.980175,1.4543256,1.4543256,False,False
SYP,2.7969239,0.7691508,0.7691508,False,False
PTGIS,1.9964968,0.9082068,0.9082068,False,False
NUPR1,4.5374894,1.4179683,1.4179683,False,False
EPHB6,1.8031173,0.9736206,0.9736206,False,False
PTGER3,1.5654787,0.7455318,0.7455318,False,False
IGFALS,1.4958265,0.9445807,0.9445807,False,False
PKIG,4.883867,0.6459935,0.6459935,False,False
GSTM3,3.7320623,0.8425546,0.8425546,False,False
MCM5,5.412291,0.64645684,0.64645684,False,False
PTGES,2.255825,0.94112325,0.94112325,False,False
ABI3,3.3367972,0.9602098,0.9602098,False,False
CRIP2,3.3459945,1.1231223,1.1231223,False,False
DCLK1,2.3548748,0.91705775,0.91705775,False,False
RAB23,3.628668,0.7552361,0.7552361,False,False
RGS14,3.4734914,0.764264,0.764264,False,False
SSUH2,2.0725331,1.3154016,1.3154016,False,False
C14orf132,3.3221407,0.764138,0.764138,False,False
F5,1.6033634,0.7606172,0.7606172,False,False
SEC11C,5.3900366,0.6253607,0.6253607,False,False
AP1S2,3.9044104,0.6412212,0.6412212,False,False
GALNT12,6.604435,1.2563448,1.2563448,False,False
ABCC3,7.1608486,1.0716939,1.0716939,False,False
VWC2,0.7526862,0.48264393,0.48264393,False,False
AMPD1,1.515774,0.77768356,0.77768356,False,False
SLC16A4,3.1837325,1.474354,1.474354,False,False
SLC4A10,2.4782584,1.2344145,1.2344145,False,False
TMPRSS3,1.579037,0.7472094,0.7472094,False,False
INSC,2.1948836,0.90397936,0.90397936,False,False
IGF1,3.6592944,0.78625613,0.78625613,False,False
PYHIN1,1.9113201,0.9553731,0.9553731,False,False
CLRN3,6.228418,1.1043748,1.1043748,False,False
TMC5,6.7483497,1.225529,1.225529,False,False
FBLN5,2.9070094,0.9923243,0.9923243,False,False
